Company,Phone,Fax,Web,Sector(s),Product,Nationality,Address,Additional1,Additional2
Unicredit Bank Ireland P.L.C,+353 1 6702000,+353 1 6702100,www.unicreditbank.ie,Financial Services,Loans, Bonds, Structured Finance, Treasury, Asset Financing
International Fund Services (Ireland) Limited,+353 1 7075000,+353 1 7075133,www.imsi.com,Financial Services,Fund Administration,United States of America,78 Sir John Rogerson's Quay   Dublin Dublin Ireland,,
FFH Management Services Limited,+353 1 6424042,+353 1 6424001,www.fairfax.ca,Financial Services,Established as a reinsurance company in November 1997 and provides financing services to members of the parent group,Canada,1st Floor 25-28 Adelaide Road  Dublin Dublin Ireland,,
Apc By Schneider Electric,+353 91 702000,+353 91 756909,www.apcc.com,ICT- ICT - Hardware,Supply Chain Management, S'ware Dev, Financial & HR Shared Services,France,Ballybrit Business Park   Galway Galway Ireland
Multi Packaging Solutions (Mayo),+353 98 28500,+353 98 25752,www.multipkg.com,Consumer Goods,Leaflets, Labels and booklets,United States of America,Golf Course Road   Westport Mayo Ireland,
Bel Power Solutions Ireland Ltd,+353 61225977,+353 61225985,www.power-one.com,ICT- ICT - Hardware,Switch Mode Power Supplies,United States of America,Raheen Business Park Raheen   Limerick Ireland,,
Orange Business Services,+353 1 4025900,+353 1 4025920,www.orange.com,,Back Office / DP,France,14 Riverwalk Citywest Business Campus  Dublin Dublin Ireland,,
Kum Ireland Limited,+353 469481600,+353 469481601,www.kum.ie,Consumer Goods,Cosmetic Pencil Sharpeners,Germany,IDA Industrial Estate Athboy Road  Trim Meath Ireland,,
Red Hat Limited,+353 21 2303400,+353 21 2303499,www.europe.redhat.com,ICT- ICT - Software,Computer Software,United States of America,Building 6700 Cork Airport Business Park Kinsale Road  Cork Cork Ireland,,
Itw Shannon Limited,+353 61471299,+353 61 471285,www.itn.com,,Speciality chemical bonding products for structural bonding, industrial maintenance, repairs and abrasion resistance,United States of America,150 Shannon Free Zone West   Shannon Clare Ireland
Allianz Re Dublin dac,+353 1 512 5400,+353 1 512 5401,www.allianzre.com,Financial Services,Underwrites (on intl basis) all major classes of non-life insurance business, offers specialised financial reinsurance (both life and non) and engages in captive management services,Germany,Allianz House Elmpark  Merrion Road  Dublin Dublin Ireland,
Molex Ireland Limited,+353 61 702400,+353 61 702700,www.molex.com,,Conectors,United States of America,146-147 Shannon Free Zone West   Shannon Clare Ireland,,
Jazz Pharmaceuticals PLC.,+353 1 634 7800,,www.jazzpharma.com,Bio Pharmaceuticals,Identifying, developing and commercializing innovative products to meet unmet medical needs in neurology and psychiatry,United States of America,4th Floor Connaught House One Burlington Road Dublin Dublin Ireland,
Analog Devices,+353 61308448,+353 61308448,www.analog.com,ICT- ICT - Hardware,IC Design,United States of America,Building 2200 Airport Business Park  Cork Cork Ireland,,
Takeda Pharma Ireland Limited,+353 1 4672400,,www.takeda.co.jp,,,Japan,Grangecastle Clondalkin  Dublin Dublin Ireland,,
Leaseplan Infrastructure Services,+353 1 6804200,+353 1 6804250,www.leaseplan.ie,Financial Services,IT Tech Support,Netherlands,LeasePlan House Central Park  Dublin Dublin Ireland,,
Webzen Inc,+353 1 681 5117,,,,Online game portal,Japan,2nd Floor Ocean House Arran QuaySmithfield Dublin Dublin Ireland,,
Reynaer's Manufacturing Limited,+353 539235600,+353 539235812,www.reynaers.com,Engineering,Aluminium Accessories,Belgium,Fairfield   Enniscorthy Wexford Ireland,,
W&W Asset Management Dublin Limited,+353 1 6768971,+353 1 6768970,,Financial Services,Managing the W&W Global Strategies Fund, a UCITS unit with four sub-funds, the W&W US equity fund, the W&W Atlantic Yield Fund, the W&W South East Asia Equity Fund and the W&W Asset-backed Securities Fund
Clarochem Ireland Limited,+353 1 8206111,+353 1 8206122,,Bio Pharmaceuticals,Fine Chemicals,Italy,Damastown Mulhddart  Dublin Dublin Ireland,,
Dex,+353 1 8486555,+353 1 8486559,www.dex.com,ICT- ICT - Software,Supply Chain Solutions Provider,United States of America,IDA Business and Technology Park Clonshaugh  Dublin Dublin Ireland,,
Csg International,+353 91 501231,+353 91 501399,www.csgi.com,,Network Performance Management,United States of America,IDA Business Park Dangan  Galway Galway Ireland,,
Allard Support Uk Limited,+353 42 9328177,+353 42 9328182,www.allardint.com,Medical Technology,Medical Appliances & Supplies,Sweden,Coes Road   Dundalk Louth Ireland,,
Transaction Network Services (Tns) Limited,+353 1 8659200,+353 1 8550812,www.tnsi.com,ICT- ICT - Software,Communications Software,United States of America,Suite 2 Third Floor 23 Shelbourne RoadBallsbridge  Dublin Ireland,,
Kingston Technology Ireland Limited,+353 1 8128888,+353 1 8128840,www.kingston.com,ICT- ICT - Hardware,Memory Products,United States of America,Blanchardstown Industrial Park   Dublin Dublin Ireland,,
Euro Insurances Limited,+353 1 6804160,+353 1 6804140,,Financial Services,Insures cars in the LeasePlan portfolio,Netherlands,Ground Floor  Block C Central Park  Dublin Dublin Ireland,,
Intana Assist,+353 46 9074356,+353 46 9074396,www.intana-assist.com,Financial Services,Call Centre & Administration,United Kingdom,IDA Business Park Athlumney  Navan Meath Ireland,,
Baxter Shared Services & Competencies Limited,+353 1 2065500,+353 1 2065555,www.baxter.com,Medical Technology,Shared Services,United States of America,7 Deansgrange Industrial Estate   Blackrock Dublin Ireland,,
IQEQ,+353 1 6316053,+353 61 703440,www.ifgms.com,,',,Suite 6 Rineanna House Shannon Free Zone  Shannon Clare Ireland,,
Abbvie Ireland NL B.V.,+353 71 9155600,,www.abbvie.com,Bio Pharmaceuticals,Drug Delivery Device,United States of America,Ballytivnan   Sligo Sligo Ireland,,
Abbvie Ireland NL B.V.,+353 71 9136600,+353 71 9136601,www.abbott.com,Bio Pharmaceuticals- Medical Technology,Bulk Active & Finished Product Pharmaceutical Plant,United States of America,Pharmaceutical Operations Manorhamilton Road  Sligo Sligo Ireland,,
Agfa Limited,+353 1 6613466,+353 1 6613520,www.agf.com,Financial Services,Investment advisory and management services,Canada,34 Molesworth Street   Dublin Dublin Ireland,,
Electrolux Group Ireland Limited,+353 1 4565222,+353 1 4565097,www.electrolux.com,Consumer Goods,Development of Global Logistics Management Systems, Financial Shared Services and Customer Support,Sweden,Long Mile Road   Dublin Dublin Ireland,
Fidelity Investment Management (Irl) Limited,,,,,Funds Management,United States of America,One Waterside CityWest Business Campus  Dublin Dublin Ireland,,
Allergan Services International Limited,+353 1 6445299,,www.allergan.com,Bio Pharmaceuticals,Shared Services,United States of America,Allergan Pharmaceuticals Ireland Longphort House Earlsfort Centre Lower Leeson Street Dublin Dublin Ireland,,
Verizon Media,01) 866 3100,,www.oath.com,Internet,Internet Software development, marketing and support,United States of America,5-7 Point Village, North Wall Quay   Dublin 1 Dublin Ireland
Stanley Black & Decker International Holdings BV,+353 1 6709685,+353 1 6709693,www.bdk.com,Consumer Goods,Tax and treasury office for Black & Decker Corporation,United States of America,Unit A3 Calmount Park, Calmount Road, Ballymount
IBM Intl Treasury Services Company,+353 1 8154000,+353 1 8157701,,Financial Services,Corporate Treasury Management,United States of America,Oldbrook House 24/32 Pembroke Road  Dublin Dublin Ireland,,
Pfizer Ireland Pharmaceuticals,+353 45 447000,+353 45 34113,www.pfizer.com,Bio Pharmaceuticals,Finished Pharmaceuticals,United States of America,Newbridge   Newbridge Kildare Ireland,,
Micro Focus Ireland Limited (Dublin),+353 1 6058000,+353 1 6058200,www.novell.com,ICT- ICT - Software,Shared Services ,United Kingdom,Corrig Court Corrig Road Sandyford Industrial Estate  Dublin Dublin Ireland,,
Sgam ( Ireland) Limited,+353 1 6750300,+353 1 6750355,,Financial Services,Futures Fund Management and Administration,France,3rd Floor IFSC House  Dublin Dublin Ireland,,
Milliman,+353 1 6475900,+353 1 6475919,www.milliman.ie,,Actuarial and Strategic Advice on Life Assurance Companies a,United States of America,7 Grand Canal, Grand Canal Street Lower  Dublin  Ireland,
Cypress Semiconductor World Trade Corporation,+353 21 2302311,+353 21 2302380,www.cypress.com,ICT- ICT - Hardware,Design of Semiconductor Devices,United States of America,3 Lee House Riverview Business Park Bessboro RoadBlackrock  Cork Ireland,,
Optibelt Urethane Belting Limited,+353 74 9125066,+353 74 9125061,www.optibelt.de,Engineering,Industrial drive belts,Germany,IDA Business & Technology Park Lisnenan  Letterkenny Donegal Ireland,,
American College Dublin Limited,+353 1 6768939,+353 1 6768941,www.amcd.ie,,College for overseas students,United States of America,2 Merrion Square   Dublin Dublin Ireland,,
Tech Group Ireland Limited,+353 1 8859700,+353 1 8859701,www.techgroup.com,Medical Technology,Development, moulding and assembly of plastic parts including medical devices,United States of America,Damastown Industrial Park Mulhuddart  Dublin Dublin Ireland,
Gilead Sciences Limited,+353 1 2913501,+353 1 2952449,www.gilead.com,Bio Pharmaceuticals,Product Test and Release,United States of America,Unit 92  Bracken Rd. Sandyford  Dublin Dublin Ireland,,
Liberty Special Markets (Ireland),+353 1 4366000,,https://www.libertyspecialtymarkets.com/office/ireland/,Financial Services,Underwriting International,Professional Liability Risks,United States of America,2nd Floor, 55 Percy Place  Dublin Dublin Ireland
Cit Group Finance (Ireland),+353 1 2796271,+353 1 2796280,www.cit.com,,European Services Centre - financial and portfolio management for the company's specialty finance division,United States of America,CIT House Blackrock Business Park  Blackrock Dublin Ireland,,
Ingersoll Rand Thermo King Shannon,+353 61 470300,+353 61 470301,www.irco.com,Engineering,Sourcing, warehousing and distribution of temperature control equipment/components for ESA markets,United States of America,Unit 50-52 Shannon Free Zone West  Shannon Clare Ireland,
Amphenol Tcs Ireland Limited,+353 419806970,,www.amphenol-tcs.com,ICT- ICT - Hardware,Back Plane Connection Systems,United States of America,The Mill Enterprise HubNewtown Link RoadGreenhills   Drogheda Louth Ireland,,
Color Communications Europe Limited,+353 949621000,+353 949621007,www.ccicolor.com,Engineering,Colour Paint Cards,United States of America,Station Road   Castlerea Roscommon Ireland,,
Avid Technology International BV,+353 1 4669600,,www.avid.com,ICT- ICT - Software,Computer Software and Software Development,United States of America,4051 Kingswood Drive Citywest Business Campus  Dublin Dublin Ireland,,
Oxford Global Resources Ltd,+353 214857200,+353 214857232,www.oxfordcorp.com,Business Services,Multi-lingual telemarketing of contract personnel support to customers throughout Europe.,United States of America,Penrose Quay    Cork Ireland,,
UPS Cstc Ireland Limited,+353 1 400 6000,,www.ups.com,Business Services,Billing Services, Financial Shared Services,United States of America,3040 Lake Drive Citywest  Dublin Dublin Ireland,
Hertz Europe Service Centre Limited,+353 1 8133550,+353 1 8133417,www.hertz.com,Business Services,Pan European Reservation and Shared Services Centre,United States of America,Swords Business Park Swords  Dublin Dublin Ireland,,
Boston Scientific Cork Limited,+353 21 4531000,+353 21 4343354,www.bostonscientific.com,Medical Technology,Neuro radiology & Urology products,United States of America,Cork Business and Technology Park Model Farm Road   Cork Ireland,,
Synergy Health Westport,+353 98 50920,+353 98 26903,www.synergyhealthplc.com/us/contact-us/westport-ireland?region=1400&country=IE,Medical Technology,Gamma Sterilisation,United States of America,Carrowbeg Ind. Estate   Westport Mayo Ireland,,
Allied Risk Management Limited,+353 1 6700988,+353 1 6701108,www.alliedrisk.ie,Financial Services,Privately owned - captive (re)insurance management company, also provides run off administration and related services,New Zealand,IFSC House Custom House Quay  Dublin Dublin Ireland,
Volkswagen Insurance Company Limited,+353 1 293 3788,,,,Captive Insurance & Reinsurance,Germany,3rd Floor Block C Central ParkLeopardstown Dublin Dublin Ireland,,
Uchiya Ireland Limited,+353 1 4620192,+353 1 4620288,www.uchiya.ie,Engineering,Manufacture Thermostats,Japan,Tallaght Business Park    Dublin Ireland,,
Seb Life International Limited,+353 1 4870700,,,Financial Services,Life Assurance and Mutual Funds,Sweden,Bloodstone Building Sir John Rogersons Quay  Dublin Dublin Ireland,,
Aig Europe Limited,+353 1 2055800,+353 1 2783820,www.aig.com,Financial Services,Software development and support,,30 North Wall Quay   Dublin Dublin Ireland,,
Majorel Ireland Limited,+353 1 855 4780,+353 1 855 4785,www.arvatofinance.com,Business Services,Finance and accounting outsourcing. Customer Service,Germany,The Arvato Building Eastpoint Business Park Fairview Dublin Dublin Ireland,,
Smurfit Kappa Treasury,+353 1 2600900,+353 1 2600709,www.smurfitgroup.com,,International Group Treasury Services including foreign exchange, cash management,international lending,South Korea,Beech Hill Clonskeagh  Dublin Dublin Ireland
Cook Ireland Limited,+353 61 334440,+353 61 334441,www.cookgroup.com,Medical Technology,Endoscopy, Peripheral Intervention, Vascular & Urology products as well as a European Share Services Centre,United States of America,National Technological Park O'Halloran Road  Castletroy Limerick Ireland
Niche Generics Limited,+353 52 6126960,+353 52 6126961,www.nichegenerics.com,Bio Pharmaceuticals,Regulatory Affairs Department for Niche Generics,India,Ard Gaoithe Commercial Centre Ard Gaoithe Business Park Cashel Rd Clonmel Tipperary South Ireland,,
Starwood Hotels and Resorts,+353 214279200,+353 214279211,www.starwoodhotels.com,Business Services,Multi-lingual hotel reservations centre,United States of America,Starwood House MacCurtain Street  Cork Cork Ireland,,
Control Techniques,+353 45 448200,+353 45 433622,www.controltechniques.ie,Engineering,Electric motors & drives,Japan,Newbridge Industrial Estate   Newbridge Kildare Ireland,,
Ikon Office Solutions (Ireland),+353 1 6239000,+353 1 6230166,www.ikon.com,Consumer Goods,Digital Printing,,Unit 4  Park West Business Drive Nangor Road  Dublin Dublin Ireland,,
White Horse Insurance Ireland Limited,+353 61 475631,+353 61 475634,www.whitehorseinsurance.com,Financial Services,General insurance company, licenced to underwrite most non-life classes of insurance throughout the European Union - travel insurance, property & casualty and cancellation protection,,Bay 89.2  Shannon Free Zone West   Shannon Clare Ireland
Lake Region Medical Limited,+353 51440500,+353 51440503,www.lakeregionmedical.com,Medical Technology,Guide Wires for Diagnostic and Interventional Procedures,United States of America,Butlersland   New Ross Wexford Ireland,,
Link IFS Limited,+353 1 4157000,,www.capita.co.uk,,,Ireland,2 Grand Canal Square Grand Canal Harbour  Dublin Dublin Ireland,,
Hewlett Packard (Customer Services) Limited,+353 1 6150000,,www.hp.com,,Customer Support ,United States of America,Liffey Park Technology Campus Barnhall Road  Leixlip Kildare Ireland,,
Patterson Pump Ireland Limited,+353 449347078,+353 449347896,www.pattersonpumps.com,Engineering,Manufacturer of Pumps,United States of America,Unit 1 Ardmore Business & Technology Park  Mullingar Westmeath Ireland,,
Abbott Ireland Vascular Division Clonmel,+353 52 6173000,+353 52 88948,www.abbott.com,Medical Technology,Vascular Products (VI),United States of America,Cashel Road   Clonmel Tipperary South Ireland,,
Baker Hughes GE,+353 61 470200,+353 61 471359,www.ge.com,Engineering,Manufacture of moisture content meters, flow meters and oxygen analysers,United States of America,Sensing House Shannon Free Zone East  Shannon Clare Ireland,
Heraeus Metal Processing Limited,+353 61 472099,+353 61 472734,www.heraeus.ie,Engineering,Precious metals and compounds,Germany,Bay 75 Shannon Free Zone West  Shannon Clare Ireland,,
Rehan Electronics Limited,+353 53 9426742,,www.rehanelectronics.ie,ICT- ICT - Hardware,Specialised Electronic Equipment,Netherlands,Brunswick Row Aughrim Road  Carnew Wicklow Ireland,,
Metzler Ireland Limited,+353 1 6125800,+353 1 6702266,www.metzler.com,Financial Services,Investment Mgt and Administrative Services,Germany,1 Guild St IFSC  Dublin Dublin Ireland,,
Adhesives Research Ireland Limited,+353 61300300,+353 61300700,www.adhesivesresearch.com,Engineering,Specialty Adhesive Coating Systems,United States of America,Raheen Business Park   Limerick Limerick Ireland,,
Amundi Asset Management (Ireland),+353 1 4802000,+353 1 4495000,www.pioneerinvestments.com,Financial Services,Provides asset management services to a wide range of Pioneer Investments funds in addition to portfolios which are managed on behalf of 3rd parties,France,1 George's Quay Plaza George's Quay  Dublin Dublin Ireland,,
Philips Electronics Ireland Limited,+353 1 7640132,+353 1 7640701,,ICT- ICT - Software,Shared Services,Netherlands,Philips House, South County Business Park  Dublin Dublin Ireland,
Susquehanna Ireland Limited,+353 1 8028000,+353 1 8028100,www.sig.com,Business Services,International Securities,United States of America,George's Dock House 4th Floor IFSC Dublin Dublin Ireland,,
Sernon Limited,+353 61 472019,+353 61 472562,,,',,Shannon Airport House Shannon Free Zone West  Shannon Clare Ireland,,
Stryker Orthopaedic (Tullagreen),+353 214532800,+353 214532850,www.stryker.com,Medical Technology,Orthopaedic Implants,United States of America,IDA Industrial Estate   Carrigtohill Cork Ireland,,
Minelab International Limited,+353 21 4232352,+353 21 4232353,www.minelab.com,ICT- ICT - Hardware,Electronic Components for metal sensing technology.,Australia,Building 1000, 2nd Floor, Room 216 - 217  City Gate
MDS Ltd,+353 61207400,+353 61207401,WWW.MARTINDAWESSYSTEMS.COM,ICT- ICT - Software,Software Development for Telecommunications - Billing Systems,United Kingdom,6th Floor  Cornmarket Square Denmark Street  Limerick Limerick Ireland,,
Magellan Aviation Services Limited,+353 61 474800,+353 61 474632,www.magellangroup.net,,Supplier of aircraft rotable spares, through exchange, lease and outright sales.  Management and redistribution of airlines and FBO surplus materials.,United States of America,10-11 Distribution Centre Shannon Free Zone West  Shannon Clare Ireland
Symantec Limited,+353 61 365200,+353 61 365219,www.symantec.com,,',United States of America,4100 Atlantic Avenue Westpark Business Campus Shannon Free Zone West  Shannon Clare Ireland,,
Claddagh Resources,+353 74 9320400,+353 74 9320401,www.claddaghresources.net,Business Services,Internet based research centre,United States of America,Links Business Centre Lisfannon  Buncrana Donegal Ireland,,
Critical Path,+353 1 2415000,+353 1 2415170,www.cp.net,ICT- ICT - Software,Messaging Software Development and Technical Support,United States of America,42-47 Lower Mount St.   Dublin Dublin Ireland,,
Listal,+353 68 22838,+353 68 22874,www.listal.com,Medical Technology,Injection moulded components for medical devices,Italy,Clieveragh Industrial Park   Listowel Kerry Ireland,,
Bank Of Montreal Ireland PLC,,,www.bmo.com,,Banking,Canada,2 Harbourmaster Place 6th Floor  Dublin Dublin Ireland,,
Rci Call Centre (Ireland) Limited,+353 21 4526000,+353 21 4526002,www.rci.com,Business Services,Call Centre forTime Share Exchange,United States of America,Blackrock Business Park Bessboro Road  Blackrock Cork Ireland,,
Xerox (Europe) Limited,+353 1 6086000,,www.xerox.com,ICT- ICT - Software,Pan European shared services/customer support centre/ Global Delivery Centre ,United States of America,Ballycoolin Business Park Blanchardstown  Dublin Dublin Ireland,,
Elsevier Ireland Limited,+353 61 709600,+353 61 709100,www.elsevier.com,,',United Kingdom,4200 Atlantic Avenue Westpark Business Campus  Shannon Clare Ireland,,
Hi Life Tools (Ptg),+353 61 239500,+353 61 716584,www.ptgtools.com,Engineering,Manufacture of precision tools including thread rolling,United States of America,European Service Centre Bays 122-125 Shannon Industrial Estate Shannon Clare Ireland,,
Rupp & Hubrach Optik Gmbh,+353 45891463,+353 45891462,www.rh-brillenglas.de/,Medical Technology,Ophthalmic Lenses, their refinement and a broad range of services,France,Troopersfield   Blessington Wicklow Ireland,
Decare Operations Ireland Limited,+353 94 9372251,+353 94 9362685,www.decare.com,Financial Services,Dental health claims processing,United States of America,IDA Business Park   Claremorris Mayo Ireland,,
John Crane Ireland Limited,+353 61 472155,,www.johncrane.com,Engineering,Manufacture of mechanical sealing components for Oil & Gas, Chemical, Pharma, Pulp & Paper and Mining sectors.,United Kingdom
Ge Capital European Funding,+353 61 362322,+353 61 362010,www.ge.com,,',United States of America,WIL House Shannon Business Park  Shannon Clare Ireland,,
Palladio Ireland Packaging Solutions Ltd,+353 57 9327490,+353 57 9327470,www.zannini.it,Consumer Goods,Packaging,Italy,Tullamore Business & Technology Park Srah  Tullamore Offaly Ireland,,
State Street International (Ireland) Limited,+353 1 7768000,,www.statestreet.com,Financial Services,Funds services and administration,United States of America,Kilkenny Business & Technology Park Ring Road  Kilkenny Kilkenny Ireland,,
NCR Global Solutions Limited,+353 1 8909300,+353 1 8909411,www.ncr.com,ICT,Sales and services,United States of America,Unit 180  Lakeview Drive Airside Business Park  Swords Dublin Ireland,,
Alcon Laboratories Ireland Limited,+353 21 4865100,,www.alconlabs.com,Medical Technology,Intra Occular Lenses,Switzerland,Business & Technology Park Model Farm Road  Cork Cork Ireland,,
Creative Labs (Europe) Limited,+353 1 8975700,,www.creative.com,ICT- ICT - Software,Computer and Entertainment Software, Technical Support and Shared Services,Singapore,Q2 North Ring Business Park Swords Road Dublin 9 Dublin Dublin Ireland,
Matrox Europe Limited,+353 214325600,+353 214325601,www.matrox.com,ICT- ICT - Hardware,Graphics Cards for PCsVideo and imaging products,Canada,Unit 2400 Cork Airport Business Park  Cork Cork Ireland,,
SMBC Aviation Capital,+353 1 8599000,,www.smbc.aero,,Aircraft Finance & Advisory,Japan,IFSC House IFSC  Dublin Dublin Ireland,,
Colgate Palmolive Support Services,+353 1 403 9800,+353 1 403 9801,www.colgate.com,Consumer Goods,IT Support Centre,United States of America,Unit 3054  Lake Drive Citywest Business Campus  Dublin Dublin Ireland,,
Novartis International Pharmaceuticals Limited,+353 214862000,+353 214862358,www.ie.novartis.com,Bio Pharmaceuticals,,Switzerland,Branch Irealnd   Ringaskiddy Cork Ireland,,
Aon Insurance Managers (Shn) Limited,+353 61 721000,+353 61 721001,www.aon.com,,',United Kingdom,Aon House Block K  Shannon Free Zone West  Shannon Clare Ireland,,
Mgs Manufacturing Limited,+353 1 624 8991,,www.mgstech.com,,Plastics Injection mould product manufacture,United States of America,Building 3  Liffey Park Technology Campus HP Campus  Leixlip Kildare Ireland,,
Liberty IT (Dublin),+353 1 5534000,,,,,,The Liberty Centre Blanchardstown Retail Park  Dublin Dublin Ireland,,
Athy Int'L Concentrate,+353 59 8638356,+353 59 8638356,,Bio Pharmaceuticals,Food & Drink,United States of America,Townspark Industrial Estate   Athy Kildare Ireland,,
Forcepoint International Technology Ltd,+353 1 536 0000,,www.forcepoint.com,ICT- ICT - Software,Linked to FACEBOOK - Shared Services,United States of America,3rd Floor  Minerva House Simmonscourt Road   Dublin Ireland,,
Commscope Emea Limited,+353 1 2042000,+353 1 2042120,www.commscope.com,,Cabling Products,United States of America,Corke Abbey Avenue   Bray Wicklow Ireland,,
VMware International Limited,+353 21 4660000,,www.vmware.com,ICT- ICT - Software,Virtualisation Software,United States of America,Parnell House The Barracks  Ballincollig Cork Ireland,,
Cognex Ireland,+353 214217500,,www.cognex.com,,Machine vision systemsfor the semiconductor industryelectronics, aerospace, packaging and printing industries.,United States of America,Gateway Business Park 2008 / 2014 Block 2000Mallow Road Cork Cork Ireland
AXA XL,+353 1 6075300,+353 1 6705333,www.xlcapital.com,Financial Services,Writing integrated risk programmes for multinationals,France,XL House 8 St. Stephen's Green  Dublin Dublin Ireland,,
Lionbridge Technologies Ireland Dublin,+353 1 2021200,+353 1 2021299,www.lionbridge.com,Consumer Goods,Software Translation and localisation,United States of America,3 West Pier Business Park   Dun Laoghaire Dublin Ireland,,
Transitions Optical Limited,+353 93 70600,+353 93 25552,www.transitions.com,Medical Technology,Photochromic Plastic Spectacle Lenses,France,IDA Industrial Estate Dunmore Road  Tuam Galway Ireland,,
TD Securities (Ireland),,,,Financial Services,Trades international equity, interest rate and credit product, manages asset porfolios and provides structured finance solutions to customers of the Toronto Dominion Bank network.,Canada,One Molesworth Street   Dublin 2 Dublin Ireland
Canada Life Assurance Europe Limited,+353 1 2102000,+353 1 2102020,www.canadalife.ie,Financial Services,Life assurance and pensions,,Canada Life Lower Abbey Street  Dublin 1 Dublin Ireland,,
Euroben Life & Pension Limited,+353 1 6460018,+353 1 6366077,www.euroben.ie,Financial Services,Occupational pensions and endowment insurance,Norway,Block 4, Regus Harcourt Centre, Harcourt Road  Dublin 2 Dublin Ireland
Citrix Systems International Gmbh,+353 1 8055020,+353 1 8055201,www.citrix.com,ICT- ICT - Software,Customer Technical Support Centre,United States of America,East Point Business Park   Dublin Dublin Ireland,,
Boston Scientific Ireland Limited,+353 91 756300,+353 91 757398,www.bostonscientific.ie,Medical Technology,Vascular and Endoscipic Devices,United States of America,Ballybrit Business Park Ballybrit  Galway Galway Ireland,,
Bbam Aviation Services,+353 1 2311900,+353 1 2311901,www.babcockbrown.com,Financial Services,Operating lease/sublease transactions and provision of re-marketing services for securitised aircraft,Australia,West Pier Business Campus   Dun Laoghaire Dublin Ireland,,
Belfius Bank SA/NV,+353 1 6455000,+353 1 8291577,,,Financing of the local public sector and of major infrastructure projects,Belgium,6 George's Dock IFSC  Dublin Dublin Ireland,,
Amb Capital (Ireland) Limited,+353 1 6698552,+353 1 6698553,www.amb.com,Financial Services,Treasury, private equity and structured and corporate finance in Europe,,Fitzwilliam Hall Fitzwilliam Place  Dublin Dublin Ireland,
Lufthansa Technik Turbine Shannon Limited,+353 61 360512,+353 61 360513,www.ltts.ie,,Aircraft engine component overhaul,Germany,World Aviation Park   Shannon Clare Ireland,,
IBM Global Services,,,,,Global innovation and process improvement projects & EMEA software fulfilment requirements.,United States of America,IBM Technology Campus, Damastown, Mulhuddart Dublin Dublin Ireland
Porsche International Financing Dac,+353 1 6701533,+353 1 6701550,www.porsche.com,Financial Services,Provides treasury management and lending services for Porsche AG Group companies. Collection services for Porsche AG Group companies and Porsche importers worldwide.,Germany,1 Exchange Place IFSC  Dublin Dublin Ireland,,
ING Ireland,+353 1 6384000,+353 1 6384040,www.inggroup.com,Financial Services,International Lending and Securitisation,Netherlands,Block 4 Dundrum Town Centre  Dublin Dublin Ireland,,
Mima Packaging Systems,+353 51 851 672,+353 51 851 630,www.mima-films.com,Consumer Goods,Stretch Plastic film and sheet,Bermuda,Belview Port    Waterford Ireland,,
Waters Technologies Ireland Limited,+353 539160400,+353 539121681,www.waters.com,Medical Technology,World's largest manufacturer of high performance liquid chro,United States of America,Wexford Business Park Drinagh  Wexford Wexford Ireland,,
Ballina Beverages,+353 96 74200,+353 96 70171,www.coke.com,Bio Pharmaceuticals,Concentrate Manufacture,United States of America,Killala Road   Ballina Mayo Ireland,,
Cisco Systems Finance International,+353 1 8192800,+353 1 8192801,www.cisco.com,Financial Services,Customer finance and group treasury - provides 3rd party financing (leasing and loan finance) support for equipment sold by Cisco in the EMEA region,United States of America,Block P6  East Point Business Park Fairview  Dublin Dublin Ireland,,
Rabobank Ireland PLC,+353 1 6076100,+353 1 6701724,www.rabobank.ie,Financial Services,Wholesale investment banking - corporate finance, corporate banking, structured finance and investment banking/treasury services to local and international clients,Netherlands,Charlemont Place   Dublin Dublin Ireland
Equifax Commercial Services Limited,+353 53 916 7400,+353 53 914 9010,www.equifax.com,,Data Processing - Analysis of Company Accounts,United States of America,Menapia House  IDA Business & Technology Park Rosslare Road  Wexford Wexford Ireland,,
Chubb Insurance Company Of Europe S.a.,+353 1 440 1700,,,Financial Services,Insurance,United States of America,5 George's Dock, IFSC  Dublin 1 Dublin Ireland,
Jmh Finance Corporation,+353 1 6702366,+353 1 6702377,www.jmht.com,Financial Services,Provision of financial services to the JM Huber Corporation,United States of America,2nd  Floor 7 Exchange Place  Dublin Dublin Ireland,,
Investment Technology Group Limited,+353 1 6338000,+353 1 6338010,www.itg.com,,Financial services,United States of America,Dublin Exchange Facility IFSC  Dublin Dublin Ireland,,
Doosan Bobcat EMEA,+353 1 8707000,+353 1 8707425,,Financial Services,International Financial and Trading Services,South Korea,Block B Swords Business Campus  Swords Dublin Ireland,,
Kostal Ireland Gmbh,+353 2244000,+353 2244048,www.kostal.com,Engineering,Electronic components, sensors,Germany,BaltydanielLimerick Road   Mallow Cork Ireland,
Mallinckrodt Pharmaceuticals,+353 1 6960000,+353 1 8207948,www.mallinckrodt.com,Medical Technology,Contrast Media,United Kingdom,College Business and Technology Park Cruiserath Rd Blanchardstown Dublin 15 Dublin Ireland,,
Andrew Medical & Laundry Supplies Limited,+353 71 9162423,+353 71 9171976,,Medical Technology,Laundry Supplies,Australia,Unit 4 Small Industries Centre Finisklin Business Park  Sligo Sligo Ireland,,
Lufthansa Intouch,+353 1 8191051,+353 1 8191168,www.globaltelesales.ie,Business Services,International Customer Service Centre,Germany,East Point Business Park Clontarf  Dublin Dublin Ireland,,
